Feature,Importance (mean drop in accuracy),Importance (std)
Weight,0.12073365231259965,0.009897356608676371
Height,0.06307814992025515,0.007966104052395744
Age,0.05813397129186602,0.007934108324934653
TUE,0.05063795853269535,0.0066504499695592715
FCVC,0.04306220095693779,0.00905024622590819
NCP,0.03883572567783091,0.005887630609659408
CH2O,0.03213716108452947,0.006771739005260485
FAF,0.029186602870813372,0.008693282344441233
MTRANS_Public_Transportation,0.02001594896331736,0.003208676162476995
Gender_Male,0.013476874003189771,0.005934964780331612
FAVC_yes,0.011722488038277495,0.003646527389210101
SCC_yes,0.009649122807017513,0.0013789167835558732
CAEC_Sometimes,0.007735247208931395,0.003816937143149701
CAEC_Frequently,0.0033492822966506965,0.001586901813567189
CAEC_no,0.0031897926634768536,0.0007132593229664604
